objectid,cip_id,title,start_cnst,cncl_dist,cip_stat,comp_area,ext_phone,asset_type,desc_text,hyperlink,shape_Length
197,B19134,Bay Ho Improv 3 (W),3/11/2024 0:00:00,2,Construction,CLAIREMONT MESA,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 8,869 linear feet (LF) (1.68 miles) of polyvinyl chloride (PVC) water mains to replace existing 4‐, 6‐, 8‐, and 12‐inch diameter asbestos cement (AC) water mains via open trench within the same trench alignment at the same or shallower depth, including associated water services, fire hydrants, valves, water meters, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19134,8805.889756364947971
198,B19136,Bay Ho Improv 3 (S),3/11/2024 0:00:00,2,Construction,CLAIREMONT MESA,6195334207,Wastewater - Collection Sys - Main,"Construction of approximately 5,235 LF (0.99 miles) of PVC sewer mains to replace existing 6‐inch and 8‐inch diameter vitrified clay (VC) sewer mains via open trench within the same trench alignment at the same or shallower depth, including associated laterals, manholes, cleanouts, and other appurtenances; and Curb ramps, traffic control, etc.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19136,5435.830803327837202
199,B16041,Sewer & AC Water Group 794 (W),8/15/2022 0:00:00,8,Construction,SOUTHEASTERN SAN DIEGO,6195334207,Water - Distribution Sys - Distribution,"Replace approximately 14,378-lf (2.72 miles) of existing vitrified clay (VC) sewer main.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B16041,3627.419552468113125
200,B00395,Sewer & AC Water Group 794 (S),8/15/2022 0:00:00,8,Construction,SOUTHEASTERN SAN DIEGO,6195334207,Wastewater - Collection Sys - Main,"Replace approximately 14,378-lf (2.72 miles) of existing vitrified clay (VC) sewer main.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B00395,15515.003448382831266
201,B18065,Clairemont Mesa West Improv 2 (S),1/26/2027 0:00:00,2,Design,CLAIREMONT MESA,6195334207,Wastewater - Collection Sys - Main,"Construction of 7,448 LF 1.41 miles of 8”, 10”, and 12” sewer mains to replace existing Vitrified Clay VC sewer mains. Rehabilitation of 4,066 LF 0.77 miles of existing vitrified clay VC sewer mains including rehabilitation of manholes and sewer laterals connected to these sewer mains. Sewer improvements include the replacement of all associated laterals, manholes, cleanouts, and other appurtenances. Project scope also includes the design and construction of traffic control, curb ramps a",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18065,11595.776522342019234
202,B19142,Pacific Beach Improv 1 (W),2/10/2026 0:00:00,1,Design,"MISSION BAY PARK, PACIFIC BEACH",6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 14,956 linear feet (2.83 mi) of  6, 8, 12 and 16 inch existing AC Mains and 54 linear feet (.010 mi) of 10 inch existing CI Main with new appropriately sized PVC Water Mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19142,15002.535105981060042
203,B20004,Clairemont Mesa East Improv 2 (S),8/28/2023 0:00:00,2,Construction,CLAIREMONT MESA,6195334207,Wastewater - Collection Sys - Main,Construction of approximately 865 linear feet (0.16 mi.) of 8-inch Sewer Mains to replace existing 8-inch VC Sewer Mains with via open trench. Also construction of approximately 85 linear feet (.02 mi.) of new 8-in PVC sewer main including new manhole via open trench.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20004,945.709819372882407
204,B20005,Clairemont Mesa East Improv 2 (W),8/28/2023 0:00:00,2,Construction,CLAIREMONT MESA,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 13,552 linear feet (2.57 mi.) of 8, 12, and 16-inch water mains to replace existing 8, 16 and 20-inch asbestos cement (AC) water mains via open trench. Abandon approximately 4,940 linear feet (0.93 mi.) of existing 16 and 20-inch AC Water Mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20005,14054.852841861282286
205,B15028,Storm Drain Group 968,3/29/2021 0:00:00,9,Construction,MID-CITY:CITY HEIGHTS,6195334207,Drainage - Storm Drain Pipes,Replacement of 180 ft of CMP storm drain pipe.,https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15028,182.097625939037954
206,B19089,Crown Point SD Replacement,8/26/2026 0:00:00,1,Design,MISSION BAY PARK,6195334207,Drainage - Storm Drain Pipes,"Install a Type A4 Cleanout, Type B Curb Inlett, and replace 105 LF of existing Storm Drain with 24"" RCP and replace 69 LF with 18"" RCP.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19089,172.659906730733439
207,B20025,Paradise Hills Improv 1 (W),8/7/2023 0:00:00,4,Construction,SKYLINE-PARADISE HILLS,6195334207,Water - Distribution Sys - Distribution,"Replacement of 4,658 linear feet (LF) (0.88 miles) of 8-inch water mains to replace existing asbestos cement (AC) water mains. Construction of approximately 0.21 miles of bike lanes.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20025,13388.154505650909414
208,B20024,Paradise Hills Improv 1 (S),8/7/2023 0:00:00,4,Construction,SKYLINE-PARADISE HILLS,6195334207,Wastewater - Collection Sys - Main,"Replace approximately 6,439 LF (1.22 miles) of 8 and 10 inch existing VC sewer mains with new appropriately sized PVC sewer mains. Rehabilitation of 2,131 LF (0.40 miles) of existing 8-inch (VC) sewer mains. Construction of approximately 0.21 miles of bike lanes.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20024,8777.553236505033055
209,B14099,Water Group 968,3/29/2021 0:00:00,"2, 3, 9, 4",Construction,"NORTH PARK, OLD TOWN SAN DIEGO, RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan, MISSION VALLEY, MID-CITY:CITY HEIGHTS, PENINSULA, RESERVE AREA-Not a community plan, ENCANTO NEIGHBORHOODS, RESERVE AREA-Not a community plan, UPTOWN, RESERVE AREA-Not a community plan",6195334207,Water - Distribution Sys - Distribution,"Abandon 6,214-LF (1.18-mi), replace 7,027-LF (1.33-mi)",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B14099,14752.475105775540214
210,B12117,PACIFIC BEACH PIPELINE SOUTH (S),6/29/2016 0:00:00,"2, 1",Construction,"MIDWAY-PACIFIC HIGHWAY, PENINSULA, MISSION BAY PARK",6195334207,Wastewater - Collection Sys - Main,"This project proposes for replacement of 38,725 linear feet of ex. CI water main, and 6,731 linear feet of ex. VC sewer main to new 16-inch PVC mains alone with the abandonment of the Pacific Beach Reservoir, which is no longer in use.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B12117,6760.081214164333687
211,B20071,Egger Highland Improvements 1 (S),7/26/2023 0:00:00,8,Construction,OTAY MESA-NESTOR,6195334207,Wastewater - Collection Sys - Main,"The project consist of replacing 4.15 miles of 8” VC and PVC sewer mains with new appropriately sized PVC sewer mains, rehabilitating approx. 2.29 miles including point repair, replacing 1.41 miles, abandoning 0.28 miles, and 0.17 miles of new sewer mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20071,20947.113761942258861
212,S12015,PACIFIC BEACH PIPELINE SOUTH (W),6/29/2016 0:00:00,"2, 1, 7",Construction,"RESERVE AREA-Not a community plan, LINDA VISTA, RESERVE AREA-Not a community plan, MIDWAY-PACIFIC HIGHWAY, PENINSULA, MISSION BAY PARK, PACIFIC BEACH, RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan, RESERVE AREA-Not a community plan",6195334207,Water - Distribution Sys - Transmission,"This project proposes for replacement of 38,725 linear feet of ex. CI water main, and 6,731 linear feet of ex. VC sewer main to new 16-inch PVC mains alone with the abanonment of the Pacific Beach Reservior, which is no longer in use.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=S12015,38870.172145490039838
213,B20102,El Cerrito Improv 1 (W),12/29/2028 0:00:00,9,Design,"MID-CITY:EASTERN AREA, MID-CITY:CITY HEIGHTS",6195334207,Water - Distribution Sys - Distribution,"Construction of 3,962 LF (0.75 miles) of 12-inch water mains to replace existing asbestos cement (AC) water mains. All water service, valves, fire hydrants, etc will be replaced or added and brought up to the standards in the design guidelines.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20102,3857.684894232651004
214,B20103,El Cerrito Improv 1 (S),12/29/2028 0:00:00,9,Design,"MID-CITY:EASTERN AREA, MID-CITY:CITY HEIGHTS",6195334207,Wastewater - Collection Sys - Main,"Construction of 5,215 LF (0.99 miles) of 8-, 12- & 15-inch sewer mains to replace existing vitrified clay (VC) and concrete pipe (CP) sewer mains. Construction of 8,142 LF (1.54 miles) of new 8-, 10-, 12- & 15-in sewer mains. Abandonment of 7,741 LF (1.47 miles) of existing VC and CP sewer mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20103,19079.648253695286257
215,B19212,Robb Field Gateway Path,4/9/2026 0:00:00,2,Design,MISSION BAY PARK,6195334207,Parks - Developed Regional Park,"This project is to complete the walkway between the plaza located at the northwest corner of Sunset Cliffs Blvd. and West Point Loma Blvd. and the walkway system within Robb Field, also known as the Ocean Beach Athletic Area. The existing walkway within the Ocean Beach Gateway extends partway toward Robb Field and ends at a significant grade change. The proposed walkway will connect to the existing path and continue north into Robb Field, tying into the existing walkway system.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19212,549.211030748245321
216,B20019,Crest Canyon Park Emergency SD Replace,12/24/2019 0:00:00,1,Post Construction,TORREY PINES,6195334207,Drainage - Storm Drain Pipes,"The project includes replacement of corrugated metal pipe (CMP) with reinforced concrete pipe (RCP) storm drain system; 2800 feet of 54-inch CMP, 800 feet of 48-inch CMP, 400 feet of 42-inch CMP, 320 feet of 30-inch CMP, 380 feet of 24-inch CMP and storm drain system appurtenances. Additional work includes but not limited to; design services, survey services, biological monitoring, archeological & Native American monitoring, paleontological monitoring, and restoration of site with 60-Month LTMM.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20019,4732.607756522005729
217,B20039,Chollas Creek Improv 1 (W),12/30/2026 0:00:00,"9, 4",Design,"MID-CITY:EASTERN AREA, MID-CITY:CITY HEIGHTS",6195334207,Water - Distribution Sys - Distribution,"Construction of 10,366 linear feet LF (1.96 miles) of 8-, 12-, & 16-inch water mains to replace existing asbestos cement (AC) water mains. Construction of 1,062 LF (0.20 miles) of new 8-in water mains. Abandonment of 1,231 LF 0.23 miles of existing AC water mains. Replumb 45 services.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20039,12559.431113578313671
218,B20038,Chollas Creek Improv 1 (S),10/26/2026 0:00:00,"9, 4",Design,"MID-CITY:EASTERN AREA, MID-CITY:CITY HEIGHTS",6195334207,Wastewater - Collection Sys - Main,"Construction of 4,612 LF (0.87 miles) of 8-, & 10-inch sewer mains to replace existing vitrified clay (VC) sewer mains. Construction of 1,280 LF (0.24 miles) of new 8-in sewer mains. Abandonment of 1,724 LF (0.32 miles) of existing VC, CP, & PVC sewer mains. Replumb 14 laterals. Lateral reconnections for 2 laterals.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20038,8138.077443309215596
219,B19056,"Torrey Pines Rd, Prospect-Coast Walk GR",3/25/2026 0:00:00,1,Design,LA JOLLA,6195334207,Trans - Roadway - GRails/BRails/Safety,"Installation of approximately 350 feet of California ST‐75 bridge rail on the north side of Torrey Pines Road between Prospect Place and Coast Walk. Typically used on a bridge deck, this project will bolt the rail to the top of a deep, wide curb identical to the one used for testing, which will also act as part of the sidewalk. The existing sidewalk, curb and gutter within the limits of work identified will be removed and replaced.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19056,449.905303616236836
220,B20048,Stockton Improv 2 (S),2/2/2029 0:00:00,"8, 9",Design,SOUTHEASTERN SAN DIEGO,6195334207,Wastewater - Collection Sys - Main,"Construction of 6,468 LF (1.23 miles) of 8, 10, 12, and 15-inch sewer mains to replace existing vitrified clay (VC), concrete pipe (CP), and polyvinyl chloride (PVC) sewer mains. Construction of 790 LF (0.15 miles) of new 8 and 12-in sewer mains. Abandonment of 751 LF (0.14 miles) of existing vitrified clay (VC) sewer mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20048,8987.144275435613963
221,B20047,Stockton Improv 2 (W),2/2/2029 0:00:00,9,Design,SOUTHEASTERN SAN DIEGO,6195334207,Water - Distribution Sys - Distribution,"Construction of 7,672 linear feet (LF) 1.45 miles of 2, 8, and 12-inch water mains to replace existing asbestos cement (AC), plastic (P) and polyvinyl chloride (PVC) water mains. Construction of 2,476 LF (0.47 miles) of new 8 and 12-in water mains. Abandonment of 2,972 LF (0.56 miles) of existing AC and PVC water mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20047,11227.927763042524020
222,B18195,AC Water & Sewer Group 1057 (W),4/23/2030 0:00:00,1,Design,"MISSION BAY PARK, PACIFIC BEACH",6195334207,Water - Distribution Sys - Distribution,"Construction of 8,042 linear feet LF 1.52 miles of 8 and 12-inch water mains to replace existing asbestos cement AC water mains. Construction of 920 LF 0.17 miles of new 8-in water mains. Abandonment of 920 LF 0.17 miles of existing AC water mains. Replace approximately 1,491 linear feet 0.28 mi of 6 and 8-inch AC Water Mains with 1,409 linear feet 0.27 mi of new 4-in pipe for domestic use and 1,491 linear feet 0.28 mi of new 8 and 12-in pipe for fire service and then privatizes.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18195,9177.126185731120131
223,B18194,AC Water & Sewer Group 1057 (S),7/30/2030 0:00:00,1,Design,PACIFIC BEACH,6195334207,Wastewater - Collection Sys - Main,"Construction of 3,267 LF 0.62 miles of 8, 10 and 12-inch sewer mains to replace existing vitrified clay VC sewer mains. Construction of 292 LF 0.06 miles of new 8-in sewer mains. Abandonment of 294 LF 0.06 miles of existing VC sewer mains. Rehabilitation of 1,792 LF 0.34 mi of existing vitrified clay VC sewer mains.  The project is located within Council District 2 of the Pacific Beach and Mission Bay Park Community.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18194,5408.838136994326305
224,B20014,Pipeline Rehabilitation BA-1,8/16/2021 0:00:00,7,Construction,NAVAJO,6195334207,Wastewater - Collection Sys - Main,"Rehabilitating approximately 28,909 LF (5.48 mi) of existing sewer mains with necessary point repairs,  approximately 23 main point repairs and 10 lateral point repairs, and install 21 clean-outs. The project is located in council district 7, Navajo community.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20014,28376.246625760522875 
225,B20094,Nestor Improv 1 (S),2/16/2029 0:00:00,8,Design,OTAY MESA-NESTOR,6195334207,Wastewater - Collection Sys - Main,"Construction of 11,149 LF (2.11 miles) of 8-, 10-, 12-, 15-, and 18-inch sewer mains to replace existing vitrified clay (VC) sewer mains. Construction of 232 LF (0.04 miles) of new 8- and 10-inch sewer mains. Rehabilitation of 9,518 LF (1.81 miles) of existing 8-, 10-, 12-, and 15-inch VC sewer mains. Abandonment of 737 LF of existing VC sewer mains. Additionally, there will be 108 new ramps, with potential for relocation of 49 ramps.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20094,20482.438410414502869
226,B20126,Rolando Improv 1 (W),3/29/2021 0:00:00,9,Post Construction,MID-CITY:EASTERN AREA,6195334207,Water - Distribution Sys - Distribution,"Replace approximately 7,242 linear feet (LF) (1.37 miles) of existing 8-inch asbestos cement (AC) and 2,549 LF (0.48 miles) of 12-inch AC water mains, including associated water services, fire hydrants, traffic control, etc. Scope also includes curb ramps in all areas impacted by this project. Streets within the project limit will be resurfaced as part of the UU209 & UU629 projects.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20126,9690.232277291508581
227,B19152,College West Improv 1 (S),4/9/2029 0:00:00,9,Design,"MID-CITY:EASTERN AREA, COLLEGE AREA",6195334207,Wastewater - Collection Sys - Main,"Construction of 9,712 LF (1.84 miles) of 8-inch, 10-inch, and 12-inch sewer mains to replace existing vitrified clay (VC), concrete (CP) and polyvinyl chloride (PVC) sewer mains. Construction of 4,273 LF (0.81 miles) of new 8-in and 10-in sewer mains. Abandonment of 3,541 LF (0.67 miles) of existing VC, CP and PVC sewer mains. Replumb 22 laterals.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19152,24428.485285392314836
228,B19148,College West Improv 1 (W),4/9/2029 0:00:00,9,Design,COLLEGE AREA,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 6,963 linear feet (1.32 miles) of PVC water mains to replace existing 4, 6, 8 and 12-inch asbestos cement (AC) water mains via open trench, including all associate water services, fire hydrants, valves, water meters, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19148,6865.488683550296628
229,B00394,Sewer and AC Water Group 793 (S),8/10/2022 0:00:00,8,Construction,SOUTHEASTERN SAN DIEGO,6195334207,Wastewater - Collection Sys - Main,"Sewer and AC Water Group 793 consist of the installation of 10,544 LF (2.0 miles) of 8"", 10"" and 12"" sewer mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B00394,11294.902726175327189
230,B15070,Sewer and AC Water Group 793 (W),8/10/2022 0:00:00,8,Construction,SOUTHEASTERN SAN DIEGO,6195334207,Water - Distribution Sys - Distribution,"Sewer and AC Water Group 793 consist of the installation of 1,877 LF (.36 miles) of 8"" and 12"" water mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B15070,1657.305528018910536
231,B18077,Water Group 972 CI,4/30/2025 0:00:00,"8, 3, 7, 9, 4",Construction,"NORTH PARK, MID-CITY:CITY HEIGHTS, ENCANTO NEIGHBORHOODS, NAVAJO, UPTOWN, MID-CITY:NORMAL HEIGHTS, SOUTHEASTERN SAN DIEGO",6195334207,Water - Distribution Sys - Distribution,"Replace approximately 448-LF (0.09 miles) of existing Cast Iron (CI) and 2732-LF (0.52 miles) of existing Asbestos Cement (AC) water mains; install approximately 1,150-LF (0.22 miles) of new 16-inch PVC water mains, including associated water services, fire hydrants, curb ramps, traffic control plan, etc.. Abandon approximately 1,011-LF (0.19 miles) of existing Cast Iron (CI) water mains. This project located throughout the City of San Diego at 8 different sites.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18077,4527.121769590448821
232,B20069,Kensington Improvements 1 (S),5/12/2027 0:00:00,9,Design,MID-CITY:KENSINGTON-TALMADGE,6195334207,Wastewater - Collection Sys - Main,"Construction of 2,047 LF (0.39 miles) of 8-inch sewer mains to replace and relocate existing Vitrified Clay (VC) and Polyvinyl Chloride PVC sewer mains. Abandonment of 960 LF (0.18 miles) of existing AC sewer mains. Rehabilitation of 386 LF (0.07 miles) of existing VC sewer mains. Sewer Access Route: Improve & re-establish existing 4,224 LF (0.80 miles) Canyon Access Route.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20069,2439.800724699672173
233,B20123,Gatewood Hills Pump Station,9/21/2026 0:00:00,5,Design,RANCHO BERNARDO,6195334207,Bldg - Water - Pump Stations,"This project replaces and expands the existing pump station as detailed in the completed preliminary engineering report. This project also replaces 842 LF of existing 6-in AC mains and 16-in AC mains with 8-in PVC mains suction and discharge pipes, a new pump station bypass pipe and isolation valve. All the replacement is proposed to be done via open trench.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20123,868.784802418862114
234,B00409,SEWER GJ 798C,2/1/2021 0:00:00,1,Post Construction,LA JOLLA,6195334207,Wastewater - Collection Sys - Main,"Rehabilitate approx 1,868 LF (0.35 mi) of existing VC sewer main, including sewer laterals.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B00409,2603.018635189150245
235,B18185,Accelerated Pipeline Rehab Ref Group 846,2/1/2021 0:00:00,"2, 1, 8, 6, 3, 7, 9, 4",Post Construction,"NORTH PARK, LA JOLLA, SAN YSIDRO, LINDA VISTA, CLAIREMONT MESA, MID-CITY:EASTERN AREA, MISSION VALLEY, MID-CITY:CITY HEIGHTS, PENINSULA, UNIVERSITY, ENCANTO NEIGHBORHOODS, OTAY MESA, NAVAJO, UPTOWN, COLLEGE AREA, BARRIO LOGAN",6195334207,Wastewater - Collection Sys - Main,"Group 846 consists of rehabilitating approximately 1.00 miles of existing 6, 8, and 21-inch vitrified clay (VC), cast iron (CI), concrete and polyvinyl chloride (PVC) sewer mains. Also includes the rehabilitation of 7 manholes, 3 sewer main internal point repairs, and 6 sewer main point repairs. One of the point repairs includes replacement of an abandoned manhole with a new manhole at the same location and approximately 30-feet of sewer main repair between the new manhole and the existing manho",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18185,11354.293778207975265
236,B20134,East Village Improv 1 (S),2/16/2027 0:00:00,3,Bid / Award,"DOWNTOWN, GREATER GOLDEN HILL",6195334207,Wastewater - Collection Sys - Main,"Construction of approximately 7,206 linear feet (1.36 miles) of polyvinyl chloride (PVC) sewer mains to replace existing 6, 10, 12, and 15-inch diameter vitrified clay (VC), PVC, and concrete pipe (CP) sewer mains via open trench and trenchless methods, including associated laterals, manholes, cleanouts, and other appurtenances. Also, rehabilitation of approximately 345 linear feet (0.07 miles) of existing 6-inch diameter VC sewer mains.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20134,9930.829726689418749
237,B17056,Downtown Mobility Cycleway Improvement,1/13/2020 0:00:00,3,Post Construction,"DOWNTOWN, GREATER GOLDEN HILL",6195334207,Trans - Bicycle Facilities (All Class.),"This project will Implement bikeways within Downtown to provide linkages within and to surrounding neighborhoods while also increasing bicycle commute mode in accordance with the downtown mobility plan. The Project scope includes street resurfacing, traffic striping, traffic signal modifications, ADA improvements and construction of bicycle facilities which include removable pin-on separators and angled parking conversion.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B17056,33643.301565137742728
238,B19143,Downtown Complete St Impl Phase 2,10/12/2020 0:00:00,"2, 3",Post Construction,DOWNTOWN,6195334207,Trans - Bicycle Facilities (All Class.),"As part of Downtown Complete Streets Implementation (DMP Cycle Way), this project will extend the street coverage into more downtown areas in Phase 2B which are located in Pacific Highway.This project will continue implementation of the mobility plan with installation of cycle tracks, traffic signal modifications, street resurfacing, signage & striping, and ADA curb ramps.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19143,5147.503653064592072
239,B18091,AC Water & Sewer Group 1051 (W),6/21/2021 0:00:00,7,Construction,TIERRASANTA,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 2,082 linear feet (LF) (0.39 miles) of polyvinyl chloride (PVC) water mains to replace existing 4-, 6-, and 8-inch diameter asbestos cement (AC) water mains via open trench within the same trench alignment at the same or shallower depth, including associated water services, fire hydrants, valves, water meters, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18091,2101.085759170233814
240,B18098,AC Water & Sewer Group 1051 (S),6/21/2021 0:00:00,7,Construction,TIERRASANTA,6195334207,Wastewater - Collection Sys - Main,"Construction of approximately 2,073 LF (0.39 miles) of PVC sewer mains to replace existing 8-inch diameter vitrified clay (VC) and polyvinyl chloride (PVC) sewer mains via open trench, including associated laterals, manholes, cleanouts, and other appurtenances. This project also includes 3,091 LF (0.59 mi) of sewer rehabilitation.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18098,2127.613702939996983
241,B19145,Sewer Rehab 1051A,6/21/2021 0:00:00,7,Construction,TIERRASANTA,6195334207,Wastewater - Collection Sys - Main,"Replace 5,164 of open trench replacement, existing VC sewer including associated sewer laterals and manholes.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B19145,2935.700584909613099
242,B20037,Corridor Improv 1 (W),3/5/2027 0:00:00,9,Bid / Award,"MID-CITY:CITY HEIGHTS, MID-CITY:NORMAL HEIGHTS",6195334207,Water - Distribution Sys - Distribution,"Construction of 7,710 linear feet (LF) of 8-, and 12- inch water mains to replace existing asbestos cement (AC) water mains, construction of 9,629 LF of new 8-inch water mains. Abandonment of 8,549 LF of existing AC Water Mains. Replumb approximately 435 services.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20037,24988.412403064212413
243,B20036,Corridor Improv 1 (S),10/2/2028 0:00:00,9,Bid / Award,MID-CITY:CITY HEIGHTS,6195334207,Wastewater - Collection Sys - Main,"Construction of 5,242 LF of 8-, 10-. and 12- inch sewer mains to replace existing vitrified clay sewer mains. Construction of 530LF of new 12-inch sewer main. Rehabilitation of 3,669LF of existing VC sewer mains and abandonment of 552 LF of existing VC sewer main. Included will be the construction of 102 curb ramps and 6 alley aprons.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20036,9615.615823693777202
244,B20007,Bay Park Improv 2 (S),12/29/2028 0:00:00,2,Design,CLAIREMONT MESA,6195334207,Wastewater - Collection Sys - Main,"Construction of approximately 7,429 LF (1.40 miles) of PVC sewer mains to replace existing 8-inch diameter vitrified clay (VC) sewer mains including associated sewer laterals, cleanouts and manholes.  Sewer scope also includes the rehabilitation of approximately 2,750 LF (0.52 miles) of existing 8-inch VC mains.  Rehabilitation is proposed for all service laterals that connect to the sewer main.  New cleanout will be installed at the property line for any laterals that do not already exists.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20007,15750.769519993606082
245,B20009,Bay Park Improv 2 (W),12/22/2028 0:00:00,2,Design,CLAIREMONT MESA,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 13,648 LF (2.58 miles) of polyvinyl chloride (PVC) water mains to replace existing 4-, 6-, 8- and 12-inch diameter asbestos cement (AC) water mains via open trench within the same alignment at the same or shallower depth, including all associate water services, fire hydrants, valves, water meters, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20009,14845.630484790579430
246,B20146,Torrey Pines Rd Ped Hybrid Beacon,8/5/2024 0:00:00,1,Construction,LA JOLLA,6195334207,Trans - Signals - Calming/Speed Abatemt,"This project will install Traffic Ped Hybrid Beacon Signals, pedestrian curb ramps, sidewalk, retaining wall and cross walk signs.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20146,1299.668619331876243
247,B18210,Lincoln Park Improv 1 (W),5/4/2028 0:00:00,4,Design,ENCANTO NEIGHBORHOODS,6195334207,Water - Distribution Sys - Distribution,"Construction of approximately 7,482 linear feet (LF) (1.42 miles) of PVC water mains to replace existing asbestos cement (AC) and cast iron (CI) water mains, including all associated water services, fire hydrants, curb ramps, traffic control, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18210,6958.895909045840199
248,B18211,Lincoln Park Improv 1 (S),5/4/2028 0:00:00,4,Design,ENCANTO NEIGHBORHOODS,6195334207,Wastewater - Collection Sys - Main,"Construction of approximately 5,484 linear feet (LF) (1.04 miles) of PVC sewer mains to replace existing vitrified clay (VC) sewer mains, including all associated sewer laterals, manholes, curb ramps, traffic control, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B18211,6717.113663507461752
249,B20124,Rancho Mission Canyon Emergency,3/17/2020 0:00:00,7,Construction,NAVAJO,6195334207,Drainage - Storm Drain Pipes,"An existing 36-inch storm drain pipe located at the western end of Cabaret St, west of Decanture St, has failed. The failure of the pipe has resulted in significant erosion at the end of Cabaret St, and has undermined the adjacent hiking trail and exposed a sewer main. Further erosion could compromise the sewer main, and immediate action is necessary to prevent further erosion and protect property, environment, and public safety. Work will include repair and/or replacement of the damaged storm d",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20124,146.401791561686821
250,B20133,Morena Improv 2 (s),9/25/2028 0:00:00,"2, 7",Design,LINDA VISTA,6195334207,Wastewater - Collection Sys - Main,"Sewer Improvements: Construction of approximately 2,674 linear feet (0.51 miles) of PVC water mains to replace existing 6-, 8-, & 10-inch vitrified clay (VC) sewer mains, including associated laterals, manholes, cleanouts, and other appurtenances.",https://cipapp.sandiego.gov/CIPDetail.aspx?ID=B20133,3532.459220255758282
